Status|AssignedSize|Type|IssueNumber|Title|Repository|Comments|LabelString|closingIssuesReferences|OG Queue|Closed|ClosedAt|RUNLABEL|LabelsCount|Size: 3|Feature: API|User Role: API User|NIH OTA: 1.7.1 (reArchitecture)|Size: 33|NIH OTA: 1.2.1|Size: 80|D: 5 Core PIDs|QDR|Feature: Metadata|Type: Bug|Feature: Style Guide|User Role: Superuser|Feature: Controlled Vocabulary|Hackathon: JSF|Size: SprintTail|Feature: External Tool|Feature: User Guide|JHU|Size: 10|DANS|NIH OTA: 1.4.1|User Role: Sysadmin|Feature: File Upload & Handling|Feature: Code Infrastructure|Feature: Installation Guide|Containers & Cloud|Tech Debt|D: SonarQubeCleanup|Type: Feature|Sprint Retrospective|DataverseNO|Feature: Account & User Info|NIH: NetCDF|Working Group: SWC|HERMES|NIH OTA: 1.3.1|Feature: Developer Guide|Feature: Indexing|Feature: Harvesting|Testing: API|D: FixRateLimitingBehaviors|pm.Sonia|UI/UX: Design|D: Payara 6 Upgrade|Dataset: large number of files|ASU|NIH OTA DC|pm.epic.nih_harvesting|Feature: Search/Browse|Type: Suggestion|User Role: Hackathon Participant|NIH OTA: 1.5.1|Feature: Request Access Workflow|Feature: API Guide|Size: NoSprintCost|ops: User Accounts|Support|Support: prod. data corruption|postmortem|bklog: Deliverable|Feature: Installer|Size: Queued|NIH OTA: 1.1.1|Feature: Admin Guide|Feature: Geospatial|bug|enhancement|Status: UX & UI|Feature: Publishing & Versions|Feature: DOI & Handle|hdc|3a|Feature: Terms & Licensing|Feature: Accessibility|bklog: NeedsDiscussion|Feature: Internationalization|pm.epic.nih_harvesting_framework|Feature: Permissions|Feature: Metrics + Reports|Hackathon: More APIs|User Role: Curator|User Role: Depositor|Feature: Performance & Stability|MVP Milestone 1|D: Infra & Deployment Setup|MVP Milestone 2|D: Design System|dependencies|DevOps: Problem|D: NIH: OTA|D: GDC: Interop With DV|D: Dev|NIH OTA: 1.3.2|D: DataverseInDocker|spike|
'Clear of the Backlog'|10|'ISSUE'|9376|'Fix order of metadatablocks when creating and editing dataset templates in NDR collection'|'dataverse'||'Size: 10'||'Clear of the Backlog'|True|'2023-02-09T22:27:54Z'|20230314-084042|1||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'ISSUE'|186|'In Harvard Dataverse Repository, three published datasets are in unpublished Dataverse collections'|'dataverse.harvard.edu'||'Size: 3'||'Clear of the Backlog'|True|'2023-03-02T20:37:33Z'|20230314-084042|1|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|10|'ISSUE'|150|'Some datasets are uneditable, have finalizePublication lock, but DOIs work, "Draft"/"Unpublished" labels are missing'|'dataverse.harvard.edu'||'Size: 10'||'Clear of the Backlog'|True|'2023-02-09T20:30:31Z'|20230314-084042|1||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'SPRINT READY'|10|'PULL_REQUEST'|8981|'Gdcc/Signposting'|'dataverse'||'Size: 10'|'5962'|'SPRINT READY'|False|'None'|20230314-084042|1||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'SPRINT READY'|33|'PULL_REQUEST'|9204|'IQSS/4959-Support-By-Category-and-Folder-Grouping'|'dataverse'||'QDR','JHU','Size: 33','ASU'|'4959','6933'|'SPRINT READY'|False|'None'|20230314-084042|4|||||1||||1||||||||||1||||||||||||||||||||||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||
'SPRINT READY'|10|'PULL_REQUEST'|9102|'IQSS/9100 OpenAire update for orgs'|'dataverse'||'DANS','Size: 10'|'9100'|'SPRINT READY'|False|'None'|20230314-084042|2||||||||||||||||||||1|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'SPRINT READY'|33|'ISSUE'|3648|'Dataverse doesn't always produce valid DDI codebook 2.5 XML'|'dataverse'||'Feature: Metadata','Type: Bug','Feature: Harvesting','User Role: Sysadmin','NIH OTA: 1.2.1','Size: 33'||'SPRINT READY'|False|'None'|20230314-084042|6|||||1|1||||1|1||||||||||||1|||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'SPRINT READY'|3|'ISSUE'|9272|'Spike: Datacite request to avoid creating unecessary file DOIs'|'dataverse'||'Size: 3'||'SPRINT READY'|False|'None'|20230314-084042|1|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'SPRINT READY'|10|'ISSUE'|7736|'Fix handling of storageidentifiers in dataverse_json harvests'|'dataverse'||'Feature: Harvesting','NIH OTA DC','pm.epic.nih_harvesting','NIH OTA: 1.4.1','Size: 10'||'SPRINT READY'|False|'None'|20230314-084042|5||||||||||||||||||||1||1||||||||||||||||||1||||||||1|1||||||||||||||||||||||||||||||||||||||||||||||||
'SPRINT READY'|33|'ISSUE'|8289|'The "ListSets" command fails during the creation of a harvesting client for Zenodo '|'dataverse'||'Feature: Harvesting','NIH OTA DC','pm.epic.nih_harvesting','NIH OTA: 1.4.1','Size: 33'||'SPRINT READY'|False|'None'|20230314-084042|5|||||1|||||||||||||||||1||||||||||||||||||1||||||||1|1||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|9222|'Update dataverse.xhtml to add "read more/read less" buttons for dataverse descriptions'|'dataverse'||'Feature: Search/Browse','Size: 3'|'1249'|'Clear of the Backlog'|True|'2023-02-10T17:27:44Z'|20230314-084042|2|1|||||||||||||||||||||||||||||||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||
'SPRINT READY'|3|'PULL_REQUEST'|9184|'Iqss/9183 terms of access validation fix'|'dataverse'||'Type: Suggestion','Feature: Code Infrastructure','Size: 3'|'9183'|'SPRINT READY'|False|'None'|20230314-084042|3|1||||||||||||||||||||||||1||||||||||||||||||||||||||1||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|8970|'class field can be replaced by local variable'|'dataverse'||'Type: Suggestion','Feature: Code Infrastructure','User Role: Hackathon Participant','Size: 3'|'8771'|'Clear of the Backlog'|True|'2023-02-16T21:52:07Z'|20230314-084042|4|1||||||||||||||||||||||||1||||||||||||||||||||||||||1|1|||||||||||||||||||||||||||||||||||||||||||||
'SPRINT READY'|3|'PULL_REQUEST'|9256|'Make Series multiple #9255'|'dataverse'||'Feature: Metadata','Size: 3'|'9255'|'SPRINT READY'|False|'None'|20230314-084042|2|1|||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'SPRINT READY'|10|'ISSUE'|75|'Spike: finalize the plan for transition to Make Data Count, how to display the metrics, how to handle legacy counts'|'dataverse.harvard.edu'||'NIH OTA: 1.5.1','Size: 10'||'SPRINT READY'|False|'None'|20230314-084042|2||||||||||||||||||||1|||||||||||||||||||||||||||||||||1||||||||||||||||||||||||||||||||||||||||||||
'SPRINT READY'|10|'PULL_REQUEST'|9257|'8092 timestamp of data access request'|'dataverse'||'Feature: Request Access Workflow','Size: 10'|'8092'|'SPRINT READY'|False|'None'|20230314-084042|2||||||||||||||||||||1||||||||||||||||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|6183|'Fix at 'Show the dataset whose id is passed' section #6083'|'dataverse'||'Type: Suggestion','Feature: API Guide','User Role: API User','Size: 3'||'Clear of the Backlog'|True|'2023-01-30T19:13:22Z'|20230314-084042|4|1||1||||||||||||||||||||||||||||||||||||||||||||||||1||||1||||||||||||||||||||||||||||||||||||||||||
'SPRINT READY'|33|'ISSUE'|9147|'Draft design doc for NetCDF/HDF5/geospatial'|'dataverse'||'Feature: File Upload & Handling','NIH: NetCDF','Size: 33'||'SPRINT READY'|False|'None'|20230314-084042|3|||||1|||||||||||||||||||1||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|NoSprintCost|'ISSUE'|193|'Spike: Add more licenses using multiple license feature'|'dataverse.harvard.edu'||'Size: NoSprintCost'||'Clear of the Backlog'|True|'2023-02-22T16:50:42Z'|20230314-084042|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|33|'ISSUE'|8724|'Linking Dataverse does not update child dataset indexes'|'dataverse'||'Size: 33'||'Clear of the Backlog'|True|'2023-01-23T23:30:18Z'|20230314-084042|1|||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'ISSUE'|5112|'Exclude deaccessioned dataset from being harvested'|'dataverse'||'Type: Suggestion','Feature: Harvesting','User Role: Superuser','NIH OTA: 1.4.1','Size: 3'||'Clear of the Backlog'|True|'2023-01-10T20:44:45Z'|20230314-084042|5|1||||||||||||1|||||||||1||||||||||||||||||1|||||||||||1||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|10|'ISSUE'|9283|'Payara 6: resolve conflicts and look for next bug'|'dataverse'||'D: Payara 6 Upgrade','Size: 10'||'Clear of the Backlog'|True|'2023-01-25T20:45:48Z'|20230314-084042|2||||||||||||||||||||1|||||||||||||||||||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'||'ISSUE'|24|'Spike: Inventory and prioritize all existing Harvesting related issues'|'dataverse-pm'||||'Clear of the Backlog'|True|'2023-01-25T20:17:07Z'|20230314-084042|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|80|'ISSUE'|7430|'Linked dataverses dont (always) show up in their linking dataverses'|'dataverse'||'Size: 80'||'Clear of the Backlog'|True|'2023-01-23T23:44:38Z'|20230314-084042|1|||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|33|'ISSUE'|9214|'Bug: Fix dataset creation in the payara 6 branch'|'dataverse'||'D: Payara 6 Upgrade','Size: 33'||'Clear of the Backlog'|True|'2023-01-11T16:06:52Z'|20230314-084042|2|||||1||||||||||||||||||||||||||||||||||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|10|'ISSUE'|29|'Password update to bcrypt12'|'dataverse-security'||'Size: 10'||'Clear of the Backlog'|True|'2023-01-11T15:18:43Z'|20230314-084042|1||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|10|'ISSUE'|201|'Purge unused user accounts (as in, first consider and discuss, then, potentially, purge)'|'dataverse.harvard.edu'||'ops: User Accounts','Size: 10'||'Clear of the Backlog'|True|'2023-01-03T02:08:58Z'|20230314-084042|2||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||1||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|9107|'fix for cvv and editMetadata replace=true, and test'|'dataverse'||'DANS','Size: 3'|'9106'|'Clear of the Backlog'|True|'2022-12-07T22:38:07Z'|20230314-084042|2|1||||||||||||||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|10|'PULL_REQUEST'|9125|'8346 License internationalizataion'|'dataverse'||'Size: 10'|'8346'|'Clear of the Backlog'|True|'2022-12-07T20:45:49Z'|20230314-084042|1||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'||'DRAFT_ISSUE'||'🔻Sprint - old 🔻'|||||'Clear of the Backlog'||''|20230314-084042|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|10|'ISSUE'|192|'Restore access to two published datasets' whose pages fail to load; API endpoint for getting their dataset metadata fails'|'dataverse.harvard.edu'||'Size: 10','Support','Support: prod. data corruption'||'Clear of the Backlog'|True|'2022-12-01T20:32:38Z'|20230314-084042|3||||||||||||||||||||1||||||||||||||||||||||||||||||||||||||1|1||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|9174|'8290 harvest client api'|'dataverse'||'Size: 3'|'8267','8290'|'Clear of the Backlog'|True|'2022-12-01T19:45:59Z'|20230314-084042|1|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'ISSUE'|9114|'Create a whitepaper for external vocabulary work 1.2.1'|'dataverse'||'NIH OTA: 1.2.1','Size: 3'||'Clear of the Backlog'|True|'2022-12-01T19:50:19Z'|20230314-084042|2|1|||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'||'ISSUE'|3741|'OAI server: metadataPrefix unknown: Internal server error'|'dataverse'||'Type: Bug','Feature: Harvesting','User Role: Sysadmin','NIH OTA: 1.4.1'||'Clear of the Backlog'|True|'2022-11-28T18:57:16Z'|20230314-084042|4|||||||||||1|||||||||||1|1|||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'||'ISSUE'|7940|'[feature request] stop an harvest job in progress'|'dataverse'||'Feature: Harvesting','NIH OTA DC','pm.epic.nih_harvesting','NIH OTA: 1.4.1'||'Clear of the Backlog'|True|'2022-12-12T18:57:02Z'|20230314-084042|4||||||||||||||||||||||1||||||||||||||||||1||||||||1|1||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|10|'ISSUE'|3215|'"Securing Your Installation" section of Installation Guide could cover ongoing security, advisories, private discussion'|'dataverse'||'Feature: Installation Guide','postmortem','Size: 10'||'Clear of the Backlog'|True|'2023-01-03T20:11:59Z'|20230314-084042|3||||||||||||||||||||1||||||1||||||||||||||||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'||'ISSUE'|3797|'OAI-PMH responses indicating errors should be processable by OAI-PMH clients'|'dataverse'||'Type: Bug','Feature: Harvesting','User Role: Sysadmin','NIH OTA: 1.4.1'||'Clear of the Backlog'|True|'2022-11-28T18:55:02Z'|20230314-084042|4|||||||||||1|||||||||||1|1|||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'||'ISSUE'|8656|'Popup text can be hidden under Primefaces 11'|'dataverse'||||'Clear of the Backlog'|True|'2022-11-02T17:30:00Z'|20230314-084042|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Upgrades in Prep for DV6'||'PULL_REQUEST'|9426|'Payara 6 testing'|'dataverse'||||'Upgrades in Prep for DV6'|False|'None'|20230314-084042|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Upgrades in Prep for DV6'||'ISSUE'|8305|'Upgrade to Payara 6 and from EE 8 to EE 10 (end of Payara 5 Community Edition security patches Q2/2022)'|'dataverse'||'bklog: Deliverable','D: Payara 6 Upgrade'||'Upgrades in Prep for DV6'|False|'None'|20230314-084042|2|||||||||||||||||||||||||||||||||||||||||||||1||||||||||||||||1||||||||||||||||||||||||||||||||||||
'Upgrades in Prep for DV6'|Queued|'PULL_REQUEST'|9116|'8305 Upgrade to Jakarta EE 10 and Payara 6'|'dataverse'||'Feature: Code Infrastructure','Feature: Installer','Feature: Installation Guide','D: Payara 6 Upgrade','Size: Queued'|'8305'|'Upgrades in Prep for DV6'|False|'None'|20230314-084042|5|||||||||||||||||||||||||1|1|||||||||||||||||||1|||||||||||||||||1|1||||||||||||||||||||||||||||||||||
'Clear of the Backlog'||'PULL_REQUEST'|9026|'GDCC/Harvesting server it test failing'|'dataverse'|||'8937'|'Clear of the Backlog'|True|'2022-11-30T18:51:53Z'|20230314-084042|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'NIH bklog items (Stefano)'||'ISSUE'|9123|'Enhance Globus support for remote endpoints and tape stores'|'dataverse'||'NIH OTA: 1.1.1'||'NIH bklog items (Stefano)'|False|'None'|20230314-084042|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|||||||||||||||||||||||||||||||||
'NIH bklog items (Stefano)'|Queued|'ISSUE'|8842|'Refactor the OAI code, Step 2'|'dataverse'||'Feature: Harvesting','NIH OTA: 1.4.1','Size: Queued'||'NIH bklog items (Stefano)'|False|'None'|20230314-084042|3||||||||||||||||||||||1||||||||||||||||||1|||||||||||||||||||||||1||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'ISSUE'|8984|'Update GUIDE to include GeoJSON'|'dataverse'||'Feature: Developer Guide','Feature: Admin Guide','Feature: User Guide','Feature: External Tool','Feature: Geospatial','Size: 3'||'Clear of the Backlog'|True|'2023-02-10T16:24:30Z'|20230314-084042|6|1||||||||||||||||1|1||||||||||||||||||||1|||||||||||||||||||||||||||1|1|||||||||||||||||||||||||||||||
'Clear of the Backlog'||'ISSUE'|110|'file tab display of image for "restricted file" is cluttered when not logged in for access'|'dataverse.harvard.edu'||'bug','enhancement'||'Clear of the Backlog'|True|'2023-01-19T16:30:13Z'|20230314-084042|2|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|1|||||||||||||||||||||||||||||
'Harvard Dataverse Instance (Sonia)'|Queued|'ISSUE'|8185|'Some researchers unsure of difference between "Private URL" and "Anonymous Private URL"'|'dataverse'||'Status: UX & UI','Size: Queued'||'Harvard Dataverse Instance (Sonia)'|False|'None'|20230314-084042|2|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1||||||1||||||||||||||||||||||||||||
'Harvard Dataverse Instance (Sonia)'|Queued|'ISSUE'|8328|'versioning: optimize load time for dataset with multiple versions'|'dataverse'||'Type: Feature','Type: Bug','Feature: Publishing & Versions','Size: Queued'||'Harvard Dataverse Instance (Sonia)'|False|'None'|20230314-084042|4|||||||||||1|||||||||||||||||||1|||||||||||||||||||||||||||||||||1|||||||1|||||||||||||||||||||||||||
'SPRINT READY'|10|'ISSUE'|210|'Add Badge for DataCite registration provider'|'dataverse.harvard.edu'||'Size: 10'||'SPRINT READY'|False|'None'|20230314-084042|1||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'SPRINT READY'|80|'ISSUE'|8889|'Feature Request: Enable file PIDs at Dataverse Collection Level'|'dataverse'||'Feature: DOI & Handle','Size: 80'||'SPRINT READY'|False|'None'|20230314-084042|2|||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1||||||||||||||||||||||||||
'Clear of the Backlog'||'PULL_REQUEST'|7631|'7527 redetect api error'|'dataverse'|||'7527'|'Clear of the Backlog'|True|'2022-11-04T22:01:41Z'|20230314-084042|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|8958|'IQSS/8957 JWT creation test for DRS Archiver'|'dataverse'||'hdc','3a','Size: 3'|'8957'|'Clear of the Backlog'|True|'2023-02-01T23:17:09Z'|20230314-084042|3|1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|1||||||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|9061|'IQSS/9020- Fix for Update current version issue when a file is the dataset thumb'|'dataverse'||'Size: 3'|'9020'|'Clear of the Backlog'|True|'2023-02-02T16:28:05Z'|20230314-084042|1|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'SPRINT READY'|10|'ISSUE'|9240|'Intermittent error from the new Harvesting Clients test '|'dataverse'||'NIH OTA: 1.4.1','Size: 10'||'SPRINT READY'|False|'None'|20230314-084042|2||||||||||||||||||||1||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'ISSUE'|9339|'Update Dataverse pom file to build with the 5.0.0 release of XOAI library'|'dataverse'||'Size: 3'||'Clear of the Backlog'|True|'2023-02-01T21:52:18Z'|20230314-084042|1|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'SPRINT READY'|10|'ISSUE'|9148|'Feature Request/Idea: As a curator or collection manager, I'd like to ensure that datasets published using the Dataverse APIs include a license or have Terms of Use'|'dataverse'||'Feature: API','Feature: Terms & Licensing','Size: 10'||'SPRINT READY'|False|'None'|20230314-084042|3||1||||||||||||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||1|||||||||||||||||||||||
'Clear of the Backlog'||'PULL_REQUEST'|8774|'Upgrade from Payara 5 to 6'|'dataverse'|||'8305'|'Clear of the Backlog'|True|'2022-11-02T13:16:34Z'|20230314-084042|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'||'DRAFT_ISSUE'||'➖➖➖➖➖'|||||'Clear of the Backlog'||''|20230314-084042|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Community Backlog (Phil)'||'ISSUE'|68|'README for the Dataverse Community Backlog'|'dataverse.org'||||'Community Backlog (Phil)'|False|'None'|20230314-084042|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'SPRINT- NEEDS SIZING'|Queued|'ISSUE'|7173|'As a system integrator, I would appreciate a JSON Schema for validating my dataset JSON before uploading via API'|'dataverse'||'Type: Feature','Feature: Metadata','Feature: API','Feature: API Guide','User Role: API User','Feature: Accessibility','HERMES','Size: Queued','bklog: NeedsDiscussion'||'SPRINT- NEEDS SIZING'|False|'None'|20230314-084042|9||1|1|||||||1||||||||||||||||||||1||||||1|||||||||||||||||||1||||||||1||||||||||||1|1|||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|9225|'9224 - revert workflow metadata block in Solr schema'|'dataverse'||'HERMES','hdc','2','Size: 3'|'9224'|'Clear of the Backlog'|True|'2023-02-06T20:34:35Z'|20230314-084042|4|1|||||||||||||||||||||||||||||||||||1||||||||||||||||||||||||||||||||||||1|||||||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|9395|'Add GitLab, iRODS, and RedCap (via rdm-integrations) to "Getting Data In" documentation (list of integrations) and as a GUI uploader'|'dataverse'||'Feature: Admin Guide','Size: 3'||'Clear of the Backlog'|True|'2023-03-10T14:42:02Z'|20230314-084042|2|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1||||||||||||||||||||||||||||||||
'Community Backlog (Phil)'|3|'PULL_REQUEST'|9406|'#9404 Added Harvesting key to customize facet label'|'dataverse'||'Feature: Search/Browse','Feature: Internationalization','Size: 3'|'9404'|'Community Backlog (Phil)'|False|'None'|20230314-084042|3|1|||||||||||||||||||||||||||||||||||||||||||||||||1|||||||||||||||||||||||||||1||||||||||||||||||||
'Community Backlog (Phil)'|3|'PULL_REQUEST'|9399|'#9398 - fixing issues with metadata language inherited option label'|'dataverse'||'Feature: Metadata','Size: 3'|'9398'|'Community Backlog (Phil)'|False|'None'|20230314-084042|2|1|||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Community Backlog (Phil)'|3|'PULL_REQUEST'|9302|'add custom license for France to the Dataverse Doc'|'dataverse'||'Feature: Terms & Licensing','Size: 3'||'Community Backlog (Phil)'|False|'None'|20230314-084042|2|1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|||||||||||||||||||||||
'Community Backlog (Phil)'|Queued|'PULL_REQUEST'|9262|'8512 standardize license configuration'|'dataverse'||'Size: Queued'|'8512'|'Community Backlog (Phil)'|False|'None'|20230314-084042|1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1||||||||||||||||||||||||||||||||||
'SPRINT READY'|3|'PULL_REQUEST'|9383|'Support for deleting files using native API'|'dataverse'||'Feature: API','Feature: File Upload & Handling','Size: 3'|'3913'|'SPRINT READY'|False|'None'|20230314-084042|3|1|1||||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Community Backlog (Phil)'|Queued|'PULL_REQUEST'|8357|'issue #5277: first implementation step for exporting related publicat…'|'dataverse'||'Size: Queued'||'Community Backlog (Phil)'|False|'None'|20230314-084042|1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1||||||||||||||||||||||||||||||||||
'SPRINT- NEEDS SIZING'||'PULL_REQUEST'|9012|'rename role.editor to role.contributor'|'dataverse'|||'7129'|'SPRINT- NEEDS SIZING'|False|'None'|20230314-084042|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Community Backlog (Phil)'||'PULL_REQUEST'|9013|'Harvest: map publisher tag to distributorName'|'dataverse'|||'8739'|'Community Backlog (Phil)'|False|'None'|20230314-084042|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Community Backlog (Phil)'||'PULL_REQUEST'|8982|'GitHub Workflows security hardening'|'dataverse'||||'Community Backlog (Phil)'|False|'None'|20230314-084042|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'NIH bklog items (Stefano)'|10|'ISSUE'|8629|'Revisit/reimplement the concept of a "Harvested file". '|'dataverse'||'Feature: Harvesting','pm.epic.nih_harvesting_framework','NIH OTA: 1.4.1','Size: 10'||'NIH bklog items (Stefano)'|False|'None'|20230314-084042|4||||||||||||||||||||1||1||||||||||||||||||1||||||||||||||||||||||||||||||||||||||1|||||||||||||||||||
'Clear of the Backlog'||'ISSUE'|8267|'Feature Request/Idea: Documentation for the API to create and edit harvesting clients'|'dataverse'||'Feature: Harvesting','Feature: API Guide','NIH OTA: 1.4.1'||'Clear of the Backlog'|True|'2022-12-01T19:46:00Z'|20230314-084042|3||||||||||||||||||||||1||||||||||||||||||1|||||||||||||||1||||||||||||||||||||||||||||||||||||||||||
'Community Backlog (Phil)'||'PULL_REQUEST'|9003|'9002 allow direct upload setting'|'dataverse'|||'9002'|'Community Backlog (Phil)'|False|'None'|20230314-084042|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Community Backlog (Phil)'||'PULL_REQUEST'|8995|'allow slash in check permissions api request'|'dataverse'|||'8994'|'Community Backlog (Phil)'|False|'None'|20230314-084042|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'||'PULL_REQUEST'|8908|'Improve archiving api error handling'|'dataverse'|||'8907'|'Clear of the Backlog'|True|'2022-11-30T19:56:21Z'|20230314-084042|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'||'ISSUE'|9117|'Improve file type detection of NetCDF and HDF5'|'dataverse'||'NIH: NetCDF'||'Clear of the Backlog'|True|'2022-11-22T19:35:04Z'|20230314-084042|1||||||||||||||||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'||'ISSUE'|185|'Add SAEF metadata block to Harvard Dataverse Repository'|'dataverse.harvard.edu'||||'Clear of the Backlog'|True|'2022-10-31T15:05:43Z'|20230314-084042|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
